employee_id,age,gender,marital_status,education,education_field,num_companies_worked,department,job_role,job_level,employment_type,years_at_company,years_in_current_role,total_working_years,monthly_income,percent_salary_hike,stock_option_level,bonus_eligible,overtime_paid_eligible,business_travel,work_life_balance,job_satisfaction,environment_satisfaction,relationship_satisfaction,overtime_hours_per_week,performance_rating,training_times_last_year,promotions_last_5years,years_since_last_promotion,skills_growth_opportunities,manager_rating,team_size,distance_from_home_km,remote_work_days_per_week,attrition
EMP_00000027,39,Female,Married,Bachelor,Technical,0,IT,Analyst,5,Full-time,2,9,4,3547,9,2,Yes,Yes,Travel_Frequently,3,3,3,3,1,3,1,0,1,Medium,4,7,9,0,Yes
EMP_00000028,35,Female,Married,High School,Other,0,R&D,Junior,3,Contract,6,8,14,5987,9,0,Yes,No,Travel_Frequently,3,2,3,3,0,3,2,1,3,Low,2,4,11,3,Yes
EMP_00000029,32,Female,Married,Master,Technical,0,Sales,Manager,3,Full-time,17,1,28,,8,1,Yes,Yes,Travel_Frequently,3,3,4,4,8,4,3,0,14,High,4,9,9,3,No
EMP_00000030,35,Male,Divorced,Master,Arts,1,Operations,Senior,4,Full-time,5,3,6,2252,9,1,Yes,No,Travel_Rarely,3,,4,2,3,4,3,1,6,High,3,3,15,0,Yes
EMP_00000031,36,Male,Married,PhD,Technical,2,IT,Senior,2,Part-time,4,1,5,1028,11,3,Yes,Yes,Travel_Frequently,4,3,3,4,2,4,5,2,2,Medium,4,7,39,0,No
EMP_00000032,32,Female,Married,Bachelor,Technical,5,HR,Junior,1,Full-time,1,0,4,5639,9,3,Yes,Yes,Non-Travel,3,2,4,4,0,4,3,0,0,High,2,7,3,4,No
EMP_00000033,33,Male,Single,High School,Science,4,IT,Senior,5,Full-time,3,2,3,3697,10,2,No,No,Non-Travel,3,3,1,2,2,5,5,1,1,Medium,4,8,13,0,No
EMP_00000034,47,Female,Married,PhD,Technical,0,Operations,Manager,1,Full-time,1,0,2,5021,11,2,Yes,No,Non-Travel,4,3,3,2,18,5,3,0,0,High,4,7,8,0,No
EMP_00000035,34,Male,Single,Bachelor,Technical,1,R&D,Junior,4,Part-time,4,0,6,4221,16,0,Yes,Yes,Non-Travel,3,,3,3,5,5,5,0,0,Medium,4,8,12,4,Yes
EMP_00000036,43,Female,Single,Bachelor,Business,0,Sales,Senior,3,Full-time,3,3,5,4551,6,1,No,No,Travel_Rarely,3,4,3,3,0,4,1,1,4,Medium,3,4,29,3,No
EMP_00000037,43,Female,Married,Master,Business,2,R&D,Manager,1,Full-time,1,0,2,6655,11,2,No,Yes,Travel_Frequently,2,4,3,3,0,3,4,0,1,Low,3,6,29,1,No
EMP_00000038,38,Female,Married,Bachelor,Business,3,R&D,Junior,3,Full-time,3,2,3,5477,8,2,No,Yes,Travel_Frequently,3,3,3,4,1,5,5,2,0,High,3,4,16,0,No
EMP_00000039,45,Female,Married,Master,Science,1,R&D,Senior,1,Full-time,15,2,15,7489,12,0,Yes,No,Non-Travel,4,2,3,3,3,4,2,1,1,Low,5,11,71,4,No
EMP_00000040,37,Male,Single,Bachelor,Technical,2,IT,Junior,3,Full-time,1,0,3,1834,11,1,Yes,No,Travel_Rarely,3,3,3,1,1,3,0,0,1,Medium,4,4,27,0,No
EMP_00000041,33,Male,Married,Master,Arts,4,Operations,Manager,3,Full-time,11,0,12,2627,9,0,Yes,Yes,Travel_Rarely,3,2,4,2,8,4,3,2,6,High,3,6,33,5,No
EMP_00000042,43,Female,Married,Master,Arts,1,R&D,Senior,2,Contract,7,0,16,2352,12,0,Yes,No,Non-Travel,4,3,4,4,5,3,3,3,5,Low,3,6,9,2,Yes
EMP_00000043,44,Female,Married,Master,Business,1,IT,Junior,4,Full-time,2,2,2,3501,15,2,Yes,Yes,Travel_Frequently,3,3,3,4,4,4,5,0,0,Medium,3,6,22,0,No
EMP_00000044,22,Female,Married,Bachelor,Science,5,R&D,Senior,3,Full-time,2,0,6,3784,12,1,No,Yes,Travel_Rarely,4,2,3,4,5,4,3,0,0,High,5,4,30,3,No
EMP_00000045,26,Female,Single,Bachelor,Technical,1,R&D,Executive,3,Full-time,5,15,8,4001,12,1,No,Yes,Travel_Rarely,3,3,2,3,1,3,0,0,0,Low,4,10,7,0,No
EMP_00000046,30,Female,Married,Bachelor,Other,1,R&D,Senior,3,Full-time,4,0,9,6224,13,0,Yes,Yes,Non-Travel,3,3,4,3,8,4,6,1,0,Medium,5,2,76,2,No
EMP_00000047,50,Male,Married,Bachelor,Science,6,Finance,Analyst,3,Full-time,1,0,3,4669,8,0,No,No,Travel_Frequently,4,3,4,3,3,3,4,0,2,Medium,4,9,1,5,No
EMP_00000048,32,Male,Married,Bachelor,Technical,0,R&D,Analyst,4,Full-time,8,1,10,3760,11,1,Yes,No,Travel_Frequently,3,1,4,3,0,4,1,0,0,Medium,3,6,17,5,No
EMP_00000049,36,Other,Married,Bachelor,Business,0,Finance,Senior,1,Full-time,13,2,14,3897,17,3,Yes,Yes,Travel_Frequently,2,3,3,3,0,4,7,0,2,Low,4,5,13,1,No
EMP_00000050,31,Male,Single,PhD,Technical,5,Operations,Junior,1,Part-time,3,1,4,1814,16,2,Yes,No,Travel_Rarely,2,2,4,1,1,4,1,0,0,Medium,3,8,15,0,Yes
EMP_00000051,30,Female,Single,Bachelor,Business,1,HR,Analyst,2,Full-time,8,0,9,7113,12,1,Yes,No,Travel_Frequently,2,2,3,2,0,5,4,1,0,High,2,6,4,5,Yes
EMP_00000052,34,Male,Single,Master,Technical,4,Sales,Senior,4,Full-time,2,0,7,1735,18,2,Yes,Yes,Travel_Rarely,3,4,3,3,7,3,4,0,1,Medium,3,5,36,0,No
EMP_00000053,47,Female,Divorced,PhD,Other,2,Sales,Junior,4,Full-time,8,8,12,6580,14,1,No,No,Travel_Rarely,3,2,3,2,1,3,3,1,4,High,4,4,17,0,No
EMP_00000054,26,Male,Divorced,Bachelor,Technical,6,Finance,Analyst,2,Full-time,4,0,8,2980,14,0,Yes,No,Travel_Rarely,4,3,3,4,2,4,6,2,1,Low,4,4,100,4,No
EMP_00000055,44,Female,Single,Bachelor,Arts,1,Operations,Junior,2,Full-time,20,2,23,3071,15,0,No,Yes,Travel_Rarely,3,3,2,4,8,3,2,0,1,Medium,4,7,1,0,Yes
EMP_00000056,33,Male,Single,High School,Other,2,IT,Analyst,3,Full-time,1,9,1,4044,12,0,No,No,Non-Travel,4,3,3,4,3,4,2,0,3,Medium,4,4,1,3,No
EMP_00000057,26,Male,Married,Bachelor,Other,3,Operations,Senior,2,Full-time,3,3,8,3576,10,1,Yes,Yes,Travel_Rarely,2,2,2,3,16,4,2,2,2,Medium,4,4,8,2,Yes
EMP_00000058,46,Male,Single,Master,Science,4,IT,Junior,5,Full-time,7,0,7,3994,10,1,No,Yes,Travel_Rarely,3,3,2,2,9,3,1,2,5,Medium,4,7,16,2,No
EMP_00000059,30,Male,Single,Bachelor,Business,2,Sales,Executive,2,Full-time,9,3,10,9018,11,1,No,No,Travel_Frequently,3,3,3,4,0,3,4,1,0,High,4,11,8,5,No
EMP_00000060,27,Female,Married,Master,Business,3,HR,Junior,1,Full-time,2,1,7,4135,15,0,Yes,No,Travel_Rarely,2,4,3,3,0,4,0,0,0,Medium,3,7,1,3,No
EMP_00000061,28,Male,Single,High School,Other,4,Sales,Senior,3,Full-time,2,3,7,4224,10,1,Yes,Yes,Travel_Rarely,1,2,3,3,0,3,2,0,0,Low,3,4,18,0,Yes
EMP_00000062,46,Female,Single,Bachelor,Technical,2,HR,Senior,3,Full-time,1,1,10,6979,10,2,Yes,Yes,Travel_Rarely,3,4,3,3,0,4,5,0,0,High,3,2,18,4,No
EMP_00000063,22,Female,Married,High School,Technical,4,Sales,Manager,4,Full-time,2,0,6,2224,9,2,Yes,No,Non-Travel,3,2,3,4,1,4,2,2,0,Medium,3,10,1,3,Yes
EMP_00000064,39,Female,Single,Bachelor,Arts,4,Operations,Junior,2,Full-time,16,3,18,5750,12,1,Yes,Yes,Travel_Rarely,4,4,4,4,0,4,3,1,1,Low,4,7,1,3,No
EMP_00000065,46,Male,Married,Master,Technical,3,Operations,Executive,5,Full-time,0,0,0,1775,8,2,Yes,Yes,Travel_Frequently,3,3,2,3,4,4,3,1,5,High,3,5,41,5,Yes
EMP_00000066,29,Male,Single,Master,Science,3,R&D,Senior,2,Full-time,1,2,2,1925,14,1,Yes,No,Travel_Rarely,2,4,4,3,1,3,2,2,0,Medium,3,3,21,2,Yes
EMP_00000067,40,Female,Single,High School,Technical,1,Finance,Junior,3,Full-time,2,4,3,2659,16,1,Yes,No,Travel_Rarely,4,4,2,4,8,3,3,0,7,Medium,3,6,1,3,No
EMP_00000068,35,Female,Married,Master,Arts,1,IT,Junior,2,Full-time,5,10,14,3878,13,2,Yes,No,Travel_Rarely,2,3,3,2,0,4,4,1,0,High,3,4,14,2,Yes
EMP_00000069,45,Male,Married,Bachelor,Technical,3,Operations,Junior,4,Full-time,2,0,2,3044,10,1,Yes,No,Travel_Rarely,3,3,3,3,2,3,4,1,2,Medium,3,6,41,2,No
EMP_00000070,38,Male,Married,Master,Science,1,IT,Junior,3,Full-time,3,9,3,9319,10,1,Yes,Yes,Travel_Rarely,2,2,2,2,10,4,1,2,4,High,3,8,15,0,No
EMP_00000071,51,Male,Divorced,Master,Business,5,Sales,Junior,3,Full-time,0,0,1,4869,13,0,Yes,No,Travel_Rarely,4,4,3,3,14,3,2,0,3,Medium,4,5,11,1,No
EMP_00000072,54,Male,Single,High School,Technical,2,Sales,Junior,2,Full-time,1,0,2,6843,9,0,Yes,Yes,Travel_Rarely,3,3,2,4,2,3,3,1,4,Low,4,2,7,3,No
EMP_00000073,25,Female,Divorced,Bachelor,Business,2,Sales,Junior,1,Full-time,3,0,3,2186,17,1,Yes,No,Travel_Rarely,4,2,4,3,0,4,2,2,3,Medium,3,6,18,0,Yes
EMP_00000074,41,Male,Divorced,Bachelor,Technical,3,R&D,Analyst,3,Full-time,0,5,3,2327,18,1,Yes,Yes,Travel_Rarely,3,3,3,3,1,3,1,0,5,Medium,3,3,21,2,Yes
EMP_00000075,25,Male,Married,PhD,Other,2,Operations,Manager,2,Full-time,2,6,4,4109,16,1,No,No,Travel_Rarely,3,1,2,4,0,4,6,0,5,Low,3,7,7,2,Yes
EMP_00000076,49,Female,Married,Bachelor,Technical,4,R&D,Manager,4,Full-time,8,2,12,5147,11,1,No,No,Non-Travel,4,2,3,3,0,,2,2,11,Medium,3,4,16,3,No
EMP_00000077,36,Male,Single,Master,Other,5,R&D,Junior,4,Full-time,3,2,3,4636,6,0,Yes,No,Travel_Rarely,2,2,3,4,0,3,2,0,5,Medium,4,8,21,1,Yes
EMP_00000078,33,Male,Single,Bachelor,Science,2,IT,Analyst,2,Full-time,2,3,9,3609,11,2,Yes,No,Travel_Frequently,3,3,3,3,15,4,1,1,1,Medium,4,4,21,0,No
EMP_00000079,27,Female,Married,High School,Science,3,IT,Manager,3,Full-time,1,2,3,5788,12,0,Yes,No,Travel_Frequently,4,3,2,3,2,,3,1,3,Medium,2,7,1,3,No
EMP_00000080,49,Female,Married,Bachelor,Arts,2,IT,Junior,3,Full-time,3,0,7,1933,11,2,Yes,Yes,Travel_Rarely,3,3,3,3,15,3,4,0,3,High,3,3,22,5,No
EMP_00000081,46,Male,Married,Bachelor,Science,5,IT,Junior,5,Full-time,7,7,8,4805,10,0,Yes,No,Travel_Frequently,3,4,3,2,2,3,5,1,0,Medium,3,6,9,3,No
EMP_00000082,55,Male,Married,High School,Science,1,IT,Junior,2,Full-time,9,4,11,6787,9,3,No,Yes,Non-Travel,4,2,4,3,6,3,4,1,1,High,3,6,14,4,No
EMP_00000083,46,Female,Married,Bachelor,Arts,2,Finance,Junior,1,Full-time,1,4,3,6344,15,0,No,No,Travel_Rarely,2,4,2,4,8,3,6,3,6,Low,3,6,3,1,Yes
EMP_00000084,38,Male,Single,PhD,Science,1,R&D,Manager,3,Full-time,1,4,3,5647,10,1,Yes,No,Travel_Rarely,4,2,2,1,3,5,4,1,1,Medium,4,8,16,0,Yes
EMP_00000085,33,Female,Divorced,Bachelor,Technical,6,HR,Junior,1,Full-time,4,0,5,6211,12,1,Yes,Yes,Travel_Rarely,2,4,2,3,2,4,5,1,7,High,3,3,1,3,No
EMP_00000086,49,Male,Single,Bachelor,Arts,4,IT,Senior,5,Full-time,0,1,5,3980,11,0,Yes,Yes,Travel_Frequently,3,4,2,3,2,3,4,0,0,Medium,4,6,12,3,No
EMP_00000087,43,Male,Married,High School,Technical,1,R&D,Senior,3,Full-time,4,2,5,2881,12,2,No,Yes,Travel_Rarely,2,3,3,4,9,,2,1,3,Medium,4,10,1,0,No
EMP_00000088,32,Female,Married,Bachelor,Technical,1,IT,Executive,1,Full-time,5,3,5,13387,8,0,No,Yes,Non-Travel,4,2,4,4,4,4,5,0,1,Medium,3,7,1,2,No
EMP_00000089,52,Female,Married,Master,Business,2,R&D,Junior,3,Full-time,11,1,15,2583,13,1,Yes,No,Travel_Rarely,3,3,4,4,3,3,3,0,2,Low,4,6,13,0,No
EMP_00000090,37,Female,Divorced,Bachelor,Arts,2,Operations,Analyst,1,Part-time,4,6,4,6505,10,3,Yes,Yes,Travel_Rarely,3,1,2,4,4,4,2,0,2,High,3,6,31,3,No
EMP_00000091,22,Male,Married,Bachelor,Business,2,Sales,Senior,1,Full-time,1,5,1,1248,9,0,Yes,No,Travel_Rarely,2,3,2,2,0,3,4,0,0,Medium,4,11,16,3,Yes
EMP_00000092,43,Female,Married,Master,Business,0,Finance,Senior,4,Full-time,4,2,6,7444,16,1,Yes,No,Travel_Rarely,4,4,4,4,2,4,2,0,2,Medium,3,2,5,0,No
EMP_00000093,41,Male,Married,Bachelor,Technical,2,R&D,Junior,3,Full-time,1,2,2,4685,15,0,No,Yes,Non-Travel,3,2,3,4,13,4,2,0,0,Low,4,5,16,2,No
EMP_00000094,30,Male,Divorced,Master,Science,1,R&D,Senior,3,Full-time,8,2,9,3266,10,0,Yes,No,Travel_Rarely,2,3,3,3,1,3,3,1,0,Medium,5,5,14,0,No
EMP_00000095,34,Male,Married,Master,Technical,0,Finance,Senior,2,Full-time,2,3,7,2728,11,2,No,No,Travel_Frequently,3,1,3,2,0,5,5,0,2,High,3,8,11,5,Yes
EMP_00000096,45,Male,Single,Master,Technical,6,R&D,Manager,2,Full-time,0,1,0,8624,10,0,Yes,Yes,Travel_Rarely,3,4,3,4,12,4,1,1,6,Medium,4,6,11,1,Yes
EMP_00000097,25,Male,Married,High School,Technical,7,Operations,Senior,3,Full-time,3,4,4,3824,20,0,Yes,Yes,Travel_Rarely,3,4,2,3,3,3,1,0,0,Medium,4,2,8,0,Yes
EMP_00000098,40,Male,Married,Bachelor,Business,2,IT,Junior,3,Full-time,8,0,9,2866,19,3,No,Yes,Non-Travel,4,3,2,2,5,4,1,2,2,Medium,4,7,1,1,No
EMP_00000099,45,Female,Single,Master,Technical,1,R&D,Senior,3,Full-time,0,5,3,3184,7,2,No,Yes,Travel_Rarely,4,4,4,4,4,4,3,0,2,Medium,3,5,35,2,No
EMP_00000100,29,Male,Married,Bachelor,Technical,2,HR,Junior,1,Full-time,0,3,1,5357,14,0,Yes,Yes,Travel_Rarely,3,4,4,3,7,3,7,0,2,High,4,9,2,3,No
EMP_00000101,45,Female,Married,Master,Arts,4,HR,Senior,2,Full-time,7,2,10,5069,16,1,Yes,No,Travel_Frequently,3,3,3,4,0,4,4,0,0,Medium,4,6,20,2,No
EMP_00000102,28,Female,Married,Bachelor,Business,1,R&D,Junior,3,Full-time,9,0,10,4156,8,0,Yes,Yes,Travel_Frequently,4,2,2,3,1,4,3,0,4,Medium,3,7,5,3,No
EMP_00000103,41,Female,Married,High School,Arts,2,IT,Senior,2,Full-time,2,6,4,3546,18,1,No,No,Non-Travel,3,3,3,3,0,3,3,1,1,Low,4,5,46,3,No
EMP_00000104,23,Male,Married,Master,Technical,2,IT,Senior,5,Full-time,20,6,20,2000,14,1,Yes,No,Travel_Rarely,3,4,2,3,6,4,2,3,3,High,3,8,25,1,No
EMP_00000105,26,Male,Married,High School,Other,3,IT,Senior,3,Full-time,2,3,6,6115,15,0,Yes,No,Travel_Rarely,4,3,2,3,16,5,4,0,0,Medium,3,4,21,0,Yes
EMP_00000106,39,Female,Married,Master,Arts,1,R&D,Executive,2,Full-time,0,8,1,2811,10,1,No,Yes,Travel_Rarely,4,3,3,4,16,4,1,0,0,Low,4,6,2,0,No
EMP_00000107,45,Male,Married,Bachelor,Technical,4,Sales,Executive,1,Full-time,3,0,6,4559,8,1,Yes,Yes,Travel_Rarely,2,4,3,2,3,5,1,1,2,Low,4,3,69,2,No
EMP_00000108,45,Male,Married,Master,Technical,3,Finance,Executive,3,Full-time,3,0,3,3853,15,0,Yes,No,Non-Travel,4,3,2,2,8,3,0,0,2,Medium,4,5,13,4,Yes
EMP_00000109,30,Male,Divorced,Master,Technical,7,IT,Junior,2,Full-time,2,1,2,2886,13,1,Yes,No,Travel_Frequently,4,1,2,2,0,3,5,0,2,High,3,4,2,1,No
EMP_00000110,39,Male,Married,Master,Technical,2,R&D,Junior,2,Full-time,15,1,15,4196,19,0,Yes,Yes,Non-Travel,3,3,3,2,8,4,2,1,1,High,3,8,42,2,No
EMP_00000111,55,Female,Married,Bachelor,Science,4,Finance,Senior,2,Full-time,1,2,3,5357,16,1,Yes,No,Travel_Rarely,3,2,4,2,11,3,2,1,0,High,3,4,54,0,No
EMP_00000112,22,Female,Divorced,Master,Technical,3,IT,Executive,3,Full-time,2,2,6,3950,8,0,Yes,Yes,Travel_Rarely,3,3,4,3,8,4,3,1,7,High,3,13,25,1,No
EMP_00000113,49,Female,Married,Bachelor,Science,3,Finance,Junior,3,Full-time,5,2,11,2135,11,0,Yes,Yes,Travel_Rarely,3,,3,3,5,5,3,0,4,High,4,5,14,0,No
EMP_00000114,34,Male,Married,Master,Technical,2,R&D,Senior,4,Full-time,1,1,1,1684,10,1,No,Yes,Non-Travel,3,3,2,4,9,3,2,2,2,Low,4,5,48,4,Yes
EMP_00000115,41,Male,Married,Bachelor,Business,0,Operations,Senior,3,Full-time,2,6,5,8199,12,1,Yes,No,Travel_Rarely,3,3,3,2,0,4,3,0,3,High,4,6,23,2,No
EMP_00000116,41,Female,Single,High School,Technical,2,R&D,Junior,2,Full-time,2,2,12,1345,16,1,Yes,No,Travel_Frequently,4,2,4,3,33,4,1,2,0,Medium,3,12,1,5,No
EMP_00000117,45,Male,Single,Master,Technical,3,R&D,Manager,3,Full-time,0,2,5,2932,10,1,No,Yes,Travel_Frequently,3,2,4,3,8,3,1,0,2,Medium,3,7,8,4,No
EMP_00000118,30,Female,Single,High School,Business,2,Sales,Junior,2,Full-time,4,2,8,3902,17,3,Yes,No,Non-Travel,3,2,2,3,8,4,2,1,0,Medium,4,2,3,4,No
EMP_00000119,34,Female,Divorced,Master,Technical,3,HR,Senior,2,Full-time,1,0,6,2461,16,2,Yes,No,Travel_Rarely,3,4,3,4,2,3,6,1,1,Low,3,4,12,0,Yes
EMP_00000120,37,Male,Single,Bachelor,Technical,1,Sales,Analyst,4,Full-time,0,4,5,4771,18,0,No,Yes,Travel_Frequently,3,1,3,4,0,4,4,3,6,Low,3,4,9,2,Yes
EMP_00000121,36,Male,Married,Master,Science,3,R&D,Senior,3,Full-time,11,1,14,5756,7,0,No,No,Travel_Rarely,4,,3,2,1,5,2,0,1,Low,4,5,2,3,No
EMP_00000122,43,Male,Married,Bachelor,Technical,1,R&D,Senior,2,Full-time,0,4,3,2541,13,1,No,No,Travel_Rarely,3,2,4,3,2,4,1,1,1,Medium,4,7,11,3,No
EMP_00000123,39,Female,Married,PhD,Technical,1,R&D,Junior,1,Full-time,5,0,5,8975,8,0,No,Yes,Non-Travel,3,3,2,3,5,4,2,1,1,High,4,7,13,0,No
EMP_00000124,22,Male,Married,High School,Other,1,Operations,Manager,3,Full-time,12,0,14,4167,11,0,Yes,Yes,Travel_Rarely,3,1,3,3,1,5,3,3,3,High,3,3,13,3,No
EMP_00000125,42,Male,Married,High School,Science,4,Operations,Junior,3,Full-time,6,4,6,5792,19,1,Yes,Yes,Travel_Rarely,4,2,3,4,6,4,1,3,14,Medium,3,7,1,0,Yes
EMP_00000126,35,Female,Married,Bachelor,Technical,1,Sales,Junior,4,Full-time,0,0,0,3251,10,1,Yes,Yes,Travel_Rarely,4,4,4,4,6,4,0,1,0,Low,3,7,78,0,No
EMP_00000127,37,Female,Divorced,Master,Science,1,HR,Senior,4,Full-time,3,1,5,1500,11,1,No,No,Travel_Frequently,3,4,3,3,0,5,5,0,1,Medium,4,6,7,3,Yes
EMP_00000128,42,Female,Single,High School,Other,3,R&D,Manager,2,Full-time,1,5,3,6076,15,0,Yes,No,Travel_Frequently,2,4,4,3,0,3,1,1,6,Medium,5,3,14,2,Yes
EMP_00000129,57,Female,Single,Bachelor,Science,5,Operations,Senior,2,Full-time,3,0,5,3466,11,0,Yes,No,Travel_Rarely,3,4,4,4,1,4,2,2,8,High,5,6,11,0,No
EMP_00000130,43,Male,Single,Master,Technical,1,Operations,Manager,2,Part-time,6,1,6,3943,12,1,No,Yes,Travel_Rarely,4,3,4,3,2,5,1,1,1,High,4,7,11,2,No
EMP_00000131,39,Male,Married,High School,Technical,3,Sales,Executive,2,Full-time,6,0,23,5226,13,1,No,Yes,Travel_Rarely,2,3,4,2,8,4,2,0,0,Medium,3,5,11,0,No
EMP_00000132,27,Female,Divorced,Master,Other,4,IT,Executive,2,Full-time,17,0,18,4368,9,1,Yes,Yes,Travel_Rarely,4,3,1,2,1,4,2,1,11,Low,4,4,18,0,No
EMP_00000133,31,Male,Divorced,Master,Other,3,HR,Senior,2,Full-time,6,0,17,8576,9,1,Yes,No,Travel_Frequently,3,3,4,3,2,4,2,1,4,High,4,11,18,0,No
EMP_00000134,36,Male,Married,Bachelor,Arts,1,Sales,Junior,1,Full-time,2,0,2,2761,12,2,Yes,No,Non-Travel,3,2,3,2,3,4,2,0,5,Low,4,10,1,2,No
